"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"02332","Mastwijk","J.J.","Jan Johannes","Jan","","m","CDA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuczzc"
"02332","Mastwijk","J.J.","Jan Johannes","Jan","","m","CDA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuczzc"
"02333","Nerée tot Babberich","F.J.F.M.","Frans Joseph Ferdinand Maria","Frans","de","m","CDA","2e kamerlid","","","","2002-06-11","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopucfzb"
"02333","Nerée tot Babberich","F.J.F.M.","Frans Joseph Ferdinand Maria","Frans","de","m","CDA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopucfzb"
"02333","Nerée tot Babberich","F.J.F.M.","Frans Joseph Ferdinand Maria","Frans","de","m","CDA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopucfzb"
"02334","Ruiter","P.","Pieter","Piet","de","m","SP","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopugszi"
"02334","Ruiter","P.","Pieter","Piet","de","m","SP","2e kamerlid","","","","2003-01-30","2005-09-30","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopugszi"
"02335","Samsom","D.M.","Diederik Maarten","Diederik","","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopug9zh"
"02335","Samsom","D.M.","Diederik Maarten","Diederik","","m","PvdA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopug9zh"
"02335","Samsom","D.M.","Diederik Maarten","Diederik","","m","PvdA","2e kamerlid","","","","2012-09-20","","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopug9zh"
"02335","Samsom","D.M.","Diederik Maarten","Diederik","","m","PvdA","2e kamerlid","fractievoorzitter","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopug9zh"
"02336","Teeven","F.","Fredrik","Fred","","m","Leefbaar Nederland","2e kamerlid","fractievoorzitter","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopufnzg"
"02336","Teeven","F.","Fredrik","Fred","","m","VVD","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopufnzg"
"02336","Teeven","F.","Fredrik","Fred","","m","VVD","2e kamerlid","","","","2010-06-17","2010-10-13","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopufnzg"
"02336","Teeven","F.","Fredrik","Fred","","m","VVD","2e kamerlid","","","","2012-09-20","2012-11-04","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopufnzg"
"02336","Teeven","F.","Fredrik","Fred","","m","VVD","2e kamerlid","","","","2015-03-26","","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopufnzg"
